symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
RIFBTC,-0.00000007,-2.295,0.00000301,0.00000304,0.00000298,4107.00000000,0.00000297,31944.00000000,0.00000298,7434.00000000,0.00000305,0.00000306,0.00000297,2129783.00000000,6.41843555,1662919774434,1663006174434,1806517,1806945,429
RIFUSDT,0.00070000,1.067,0.06633348,0.06560000,0.06630000,11689.00000000,0.06620000,24658.00000000,0.06640000,39246.00000000,0.06560000,0.06740000,0.06540000,8379297.00000000,555827.93750000,1662919781599,1663006181599,4599279,4601160,1882
CHZTRY,-0.12700000,-3.338,3.75053494,3.80700000,3.67800000,1262.00000000,3.67700000,6006.00000000,3.67800000,5027.00000000,3.80500000,3.84200000,3.59800000,32952832.00000000,123590747.79700000,1662919798008,1663006198008,23467620,23487222,19603
XLMTRY,0.00300000,0.143,2.10356255,2.09700000,2.09900000,1574.00000000,2.09400000,10524.00000000,2.09700000,548.00000000,2.09600000,2.13700000,2.06000000,1532972.00000000,3224702.49200000,1662919787879,1663006187879,3635058,3636226,1169
LINKGBP,-0.19000000,-2.778,6.87867134,6.83700000,6.65000000,24.87000000,6.64000000,11.52000000,6.65000000,13.50000000,6.84000000,7.13000000,6.51000000,27553.77000000,189533.32809000,1662919782812,1663006182812,1201498,1202430,933
GRTEUR,0.00990000,8.476,0.11928986,0.11520000,0.12670000,840.00000000,0.12650000,1559.00000000,0.12710000,1552.00000000,0.11680000,0.13240000,0.11360000,1496909.00000000,178566.06260000,1662919796774,1663006196774,2256282,2257383,1102
BTCSTBTC,-0.00003810,-7.204,0.00051002,0.00053060,0.00049080,0.83000000,0.00049000,0.26000000,0.00049050,22.00000000,0.00052890,0.00053510,0.00048370,54242.45000000,27.66471777,1662919792516,1663006192516,5432160,5435941,3782
BTCSTBUSD,-0.52000000,-4.541,11.25192325,11.45000000,10.93000000,83.45000000,10.92000000,79.00000000,10.94000000,115.55000000,11.45000000,11.71000000,10.68000000,572678.02000000,6443729.12630000,1662919792502,1663006192502,11253396,11274780,21385
BTCSTUSDT,-0.53000000,-4.629,11.24561939,11.45000000,10.92000000,64.82000000,10.91000000,250.83000000,10.93000000,44.00000000,11.45000000,11.70000000,10.67000000,897129.06000000,10088771.94940000,1662919792520,1663006192520,39350574,39386202,35629
TRUBTC,-0.00000027,-8.464,0.00000303,0.00000318,0.00000292,455.00000000,0.00000292,6442.00000000,0.00000293,1407.00000000,0.00000319,0.00000319,0.00000291,5391202.00000000,16.32669342,1662919785816,1663006185816,3918281,3921813,3533
TRUBUSD,0.00000000,0.000,0.00000000,0.53570000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1661527756652,1661614156652,-1,-1,0
TRUUSDT,-0.00340000,-4.942,0.06703270,0.06880000,0.06540000,1985.00000000,0.06530000,48700.00000000,0.06540000,30920.00000000,0.06880000,0.06910000,0.06410000,16735802.00000000,1121846.07320000,1662919767986,1663006167986,20510373,20517219,6847
DEXEETH,0.00000800,0.429,0.00187771,0.00186200,0.00187300,9.95000000,0.00186800,154.84000000,0.00188800,14.77000000,0.00186500,0.00190900,0.00183300,10508.11000000,19.73114853,1662919761728,1663006161728,1834281,1834547,267
DEXEBUSD,-0.06900000,-2.090,3.25873568,3.30400000,3.23200000,61.88000000,3.22700000,35.20000000,3.23800000,75.19000000,3.30100000,3.34800000,3.16800000,117342.13000000,382386.98627000,1662919779851,1663006179851,8875009,8876746,1738
EOSEUR,-0.07600000,-4.393,1.69356094,1.72200000,1.65400000,9.90000000,1.65000000,119.50000000,1.65300000,119.30000000,1.73000000,1.74600000,1.61500000,131445.80000000,222611.47320000,1662919791456,1663006191456,1631788,1632627,840
LTCBRL,-11.60000000,-3.576,317.94909216,323.70000000,312.80000000,0.12100000,312.20000000,14.74600000,312.60000000,11.45700000,324.40000000,326.10000000,308.30000000,2782.04500000,884548.68210000,1662919777583,1663006177583,1528632,1529612,981
USDCBUSD,0.00010000,0.010,0.99997926,1.00000000,1.00000000,524.62000000,1.00000000,2266502.97000000,1.00010000,12597004.29000000,0.99990000,1.00010000,0.99990000,57725257.65000000,57724060.62512000,1662919796070,1663006196070,7701861,7715065,13205
TUSDBUSD,0.00010000,0.010,0.99995595,0.99990000,1.00000000,34.30000000,0.99990000,141638.40000000,1.00000000,151521.80000000,0.99990000,1.00000000,0.99990000,424983.40000000,424964.68114000,1662919524473,1663005924473,1184073,1184688,616
PAXBUSD,0.00000000,0.000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1661527756652,1661614156652,-1,-1,0
CKBBTC,0.00000000,0.000,0.00000000,0.00000015,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1661527756652,1661614156652,-1,-1,0
CKBBUSD,-0.00007000,-1.768,0.00390230,0.00396000,0.00389000,142193.00000000,0.00389000,153933.00000000,0.00390000,183287.00000000,0.00396000,0.00405000,0.00380000,29434658.00000000,114862.75469000,1662919773538,1663006173538,4625257,4626349,1093
CKBUSDT,-0.00006000,-1.515,0.00388799,0.00397000,0.00390000,8462.00000000,0.00389000,486325.00000000,0.00390000,490297.00000000,0.00396000,0.00398000,0.00377000,186051846.00000000,723367.70289000,1662919755648,1663006155648,20636567,20641483,4917
TWTBTC,-0.00000239,-5.050,0.00004587,0.00004739,0.00004494,6.00000000,0.00004494,31.00000000,0.00004504,11.00000000,0.00004733,0.00004747,0.00004466,200113.00000000,9.17923551,1662919757918,1663006157918,3486940,3489013,2074
TWTBUSD,-0.01950000,-1.905,1.00771263,1.02490000,1.00400000,194.00000000,1.00350000,245.00000000,1.00400000,245.00000000,1.02350000,1.02820000,0.98480000,1299629.00000000,1309652.56340000,1662919798048,1663006198048,8295764,8303631,7868
